DateTime,Aasu_RNF_in,Poloa_RNF_in,Vaipito_RNF_in
7/21/2015 14:30,0,0.02,0
7/21/2015 14:45,0,0,0
7/21/2015 15:00,0,0,0
7/21/2015 15:15,0,0,0
7/21/2015 15:30,0,0,0
7/21/2015 15:45,0,0,0
7/21/2015 16:00,0,0,0
7/21/2015 16:15,0,0,0
7/21/2015 16:30,0,0,0
7/21/2015 16:45,0,0,0
7/21/2015 17:00,0,0,0
7/21/2015 17:15,0,0,0
7/21/2015 17:30,0,0,0
7/21/2015 17:45,0,0,0
7/21/2015 18:00,0,0,0
7/21/2015 18:15,0,0,0
7/21/2015 18:30,0,0,0
7/21/2015 18:45,0,0,0
7/21/2015 19:00,0,0,0
7/21/2015 19:15,0,0,0
7/21/2015 19:30,0,0,0
7/21/2015 19:45,0,0,0
7/21/2015 20:00,0,0,0
7/21/2015 20:15,0,0,0
7/21/2015 20:30,0,0,0
7/21/2015 20:45,0,0,0.02
7/21/2015 21:00,0,0,0
7/21/2015 21:15,0,0,0
7/21/2015 21:30,0.01,0,0
7/21/2015 21:45,0,0,0
7/21/2015 22:00,0,0,0
7/21/2015 22:15,0,0,0.01
7/21/2015 22:30,0,0,0.01
7/21/2015 22:45,0,0,0.05
7/21/2015 23:00,0,0,0.01
7/21/2015 23:15,0,0,0
7/21/2015 23:30,0,0,0
7/21/2015 23:45,0,0,0
7/22/2015 0:00,0,0,0
7/22/2015 0:15,0,0,0
7/22/2015 0:30,0,0,0
7/22/2015 0:45,0,0,0
7/22/2015 1:00,0,0,0
7/22/2015 1:15,0,0,0
7/22/2015 1:30,0.04,0,0
7/22/2015 1:45,0,0.01,0
7/22/2015 2:00,0,0,0
7/22/2015 2:15,0,0,0
7/22/2015 2:30,0,0,0.01
7/22/2015 2:45,0,0,0
7/22/2015 3:00,0.02,0,0
7/22/2015 3:15,0.01,0.02,0.01
7/22/2015 3:30,0,0,0
7/22/2015 3:45,0.03,0.01,0
7/22/2015 4:00,0,0,0
7/22/2015 4:15,0,0,0
7/22/2015 4:30,0,0.03,0
7/22/2015 4:45,0.05,0.01,0
7/22/2015 5:00,0,0,0.01
7/22/2015 5:15,0,0.01,0
7/22/2015 5:30,0,0,0.03
7/22/2015 5:45,0.01,0,0.05
7/22/2015 6:00,0,0,0.01
7/22/2015 6:15,0.01,0,0
7/22/2015 6:30,0,0,0
7/22/2015 6:45,0,0,0.05
7/22/2015 7:00,0,0,0
7/22/2015 7:15,0,0.01,0
7/22/2015 7:30,0,0,0.01
7/22/2015 7:45,0,0,0.09
7/22/2015 8:00,0.04,0,0.02
7/22/2015 8:15,0.02,0,0
7/22/2015 8:30,0.01,0,0
7/22/2015 8:45,0.01,0,0.04
7/22/2015 9:00,0.01,0,0.01
7/22/2015 9:15,0,0.03,0
7/22/2015 9:30,0.01,0,0
7/22/2015 9:45,0,0.04,0.03
7/22/2015 10:00,0.02,0.02,0
7/22/2015 10:15,0.01,0,0
7/22/2015 10:30,0,0,0
7/22/2015 10:45,0,0,0
7/22/2015 11:00,0.01,0,0
7/22/2015 11:15,0.02,0,0
